,property_type,place_name,state_name,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,rooms,terraza,patio,parrilla,salon,laundry,pileta,cochera,estado_nuevo,estado_a_reciclar
88086,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,125871.0,56.0,47.0,2247.6964285714284,4.0,1,0,1,0,0,0,1,0,0
88087,apartment,Flores,Capital Federal,-34.635117947800005,-58.4739639408,73000.0,32.0,26.0,2281.25,1.0,1,0,0,0,1,0,0,0,0
88092,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,1691550.0,253.0,186.0,6685.96837944664,5.0,1,0,1,0,0,0,1,0,0
88095,PH,Belgrano,Capital Federal,-34.5686665208,-58.4565105868,175000.0,86.0,78.0,2034.8837209302326,4.0,0,0,0,0,0,0,0,0,0
88098,PH,Nuñez,Capital Federal,-34.553577600000004,-58.45551139999999,600000.0,225.0,225.0,2666.6666666666665,4.0,0,0,0,0,0,0,1,0,0
88099,apartment,Villa Crespo,Capital Federal,-34.5976786,-58.4430195,131815.0,70.0,65.0,1883.0714285714287,1.0,0,0,0,0,0,0,0,0,0
88101,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,114421.0,51.0,42.0,2243.549019607843,4.0,1,0,1,0,0,0,1,0,0
88105,house,Parque Patricios,Capital Federal,-34.6394953502,-58.3992163305,240000.0,290.0,135.0,827.5862068965517,5.0,1,1,0,0,0,0,0,0,0
88109,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,1723050.0,253.0,186.0,6810.474308300395,5.0,1,0,1,0,0,0,1,0,0
88110,apartment,Flores,Capital Federal,-34.635117947800005,-58.4739639408,65200.0,36.0,34.0,1811.111111111111,3.0,0,0,0,0,0,1,0,0,0
88116,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,1754550.0,260.0,193.0,6748.2692307692305,5.0,1,0,1,0,0,0,1,0,0
88118,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,154030.0,77.0,58.0,2000.3896103896104,4.0,1,0,1,0,0,0,1,0,0
